31.28,31.32,31.44,31.20,31.08,31.20,31.20,31.48,31.38,31.28,31.02,31.06,31.32,31.36,31.12,31.44,31.20,31.28,31.10,30.90,30.96,31.28,31.12,31.14,31.50,31.26,31.12,31.08,30.90,30.96,31.38,31.36,31.18,31.12,31.24,31.12,30.98,30.71,31.02,31.48,31.22,31.18,31.16,31.18,30.98,30.73,30.92,31.02,31.42,31.26,31.08,31.14,30.84,30.90,30.90,30.86,31.06,31.18,31.14,30.81,30.88,30.82,30.84,30.81,30.96,30.88,30.81,30.90,30.88
23.86,23.90,23.77,23.68,23.83,23.88,23.88,23.88,24.11,23.90,23.92,23.81,23.94,23.90,23.92,23.79,23.94,23.86,23.96,23.86,23.70,23.96,23.96,23.90,23.94,23.90,23.77,23.98,23.92,23.70,23.88,23.81,23.75,23.86,23.83,23.73,23.88,23.79,23.70,24.00,23.86,23.83,23.81,23.92,23.86,23.92,23.81,23.66,23.96,24.05,23.81,23.81,23.92,23.75,23.92,23.79,23.62,23.83,23.79,23.73,23.75,23.70,23.81,23.77,23.92,23.79,23.77,23.75,23.75
23.75,23.68,23.70,23.75,23.60,23.81,23.66,23.62,23.68,23.68,23.66,23.75,23.79,23.77,23.77,23.70,23.62,23.73,23.70,23.75,23.73,23.55,23.62,23.75,23.75,23.60,23.68,23.75,23.70,23.70,23.70,23.75,23.75,23.73,23.73,23.49,23.77,23.77,23.75,23.73,23.66,23.66,23.77,23.62,23.81,23.75,23.75,23.55,23.66,23.75,23.62,23.70,23.53,23.62,23.73,23.66,23.70,23.66,23.68,23.60,23.55,23.53,23.66,23.75,23.64,23.70,23.58,23.62,23.68
23.49,23.55,23.55,23.42,23.42,23.42,23.38,23.55,23.49,23.45,23.58,23.73,23.51,23.42,23.40,23.49,23.58,23.42,23.51,23.49,23.49,23.45,23.55,23.47,23.47,23.62,23.51,23.45,23.55,23.55,23.47,23.45,23.47,23.45,23.45,23.49,23.53,23.49,23.49,23.45,23.53,23.38,23.53,23.49,23.40,23.55,23.60,23.53,23.34,23.36,23.34,23.42,23.47,23.29,23.55,23.53,23.58,23.55,23.49,23.49,23.66,23.45,23.53,23.55,23.47,23.45,23.53,23.42,23.49
23.29,23.45,23.45,23.38,23.36,23.53,23.45,23.36,23.42,23.36,23.40,23.38,23.34,23.53,23.40,23.47,23.40,23.45,23.58,23.34,23.49,23.40,23.51,23.49,23.42,23.40,23.34,23.42,23.47,23.49,23.53,23.45,23.38,23.47,23.49,23.45,23.58,23.49,23.45,23.38,23.45,23.38,23.47,23.42,23.38,23.40,23.42,23.38,23.45,23.38,23.42,23.49,23.45,23.23,23.40,23.36,23.42,23.51,23.34,23.45,23.42,23.38,23.32,23.36,23.36,23.51,23.42,23.55,23.58
31.56,31.58,31.68,31.54,31.64,31.56,31.68,31.64,31.76,31.80,31.66,31.58,31.36,31.60,31.38,31.60,31.60,31.60,31.64,31.54,31.74,31.54,31.70,31.46,31.54,31.58,31.72,31.70,31.74,31.76,31.86,31.72,31.70,31.64,31.74,32.03,31.86,31.95,31.82,32.11,32.11,31.92,32.07,32.09,32.07,31.93,31.93,32.01,32.17,32.21,32.17,31.92,32.11,32.19,31.97,31.90,31.78,31.93,31.90,31.99,32.17,31.84,31.68,31.26,31.74,31.86,31.86,31.62,31.40
